,bipartite,displayname,category
114688,person,St Gregory,R
131078,person,Patient,L
139272,person,Gusman,L
114700,person,Captain Gilbert Crouch,L
131087,person,Burleigh,L
139282,person,Swainswick,L
122902,person,Salus Populi,U
131097,person,Isabella,L
122917,person,William Earl Of Glencairn Lord Of Kilmawers,L
114734,person,Henry Duke Of Gloucester,L
139315,person,Dissimularion,U
131123,person,Thomas Warmstry,L
131134,person,Archbishop Of Spalleto,L
114773,person,Episcopomastix,L
106581,person,Orb Andrew,R
106594,person,Dr Whichcote,L
131171,person,Herod,R
106598,person,Giove,L
131176,person,Shimei,R
122986,person,Volesos Brutumque,H
131181,person,Religi●…N,U
139373,person,Rabelais,L
139381,person,Literarum,U
114806,person,John Brinsley,L
131199,person,David Lloyd,L
123016,person,John Pearson,L
131213,person,Liberties,U
114830,person,John Calvin,L
106647,person,Satan,R
131233,person,Bathshebaes,R
139432,person,Charles Two,L
106665,person,Mother Of Churches,R
139436,person,Ari●T●●Le,H
123054,person,Ebenezer,L
114865,person,Patrick Moir,L
106681,person,Thomas Widrington,L
114875,person,Eli,R
114876,person,Fitz James,L
114880,person,Sechem,R
123081,person,St Swethins,R
131276,person,Henrietta Maria,L
106700,person,Samuel Crisp,L
139476,person,Shawsamuel,L
131289,person,Levite,R
106734,person,Arms Sure,U
106744,person,Girolamo Brusoni,L
131328,person,Anthony Bateman,L
114946,person,Honomo,U
123162,person,Thomas Alein,L
123164,person,Nettlecomb,L
114975,person,Lambert,L
131364,person,Aquedon,L
139576,person,Marcellus,H
131384,person,Simon Henden,L
123195,person,Micaiah,R
131396,person,Joab,R
131400,person,Hercules,F
123211,person,Dean Of Gilled Thomas Mitchell,L
123231,person,King Edward,L
123236,person,William Dowglas,L
115055,person,Crellius,L
106863,person,William Towers,L
106873,person,Lord Duffus,L
115074,person,Jreland,L
115077,person,George Wither,L
139660,person,Cullmore,L
115085,person,Vie●●A,U
139666,person,Mesech,R
106906,person,Corban,U
106908,person,Lucretius,H
115119,person,Charlemagne Ii,H
123321,person,Thomas Aleyn,L
106944,person,Bersheba,R
115139,person,Thomas Robinson,L
139720,person,John Lloyd Praesb,L
106957,person,Lord Beuchampe,L
139728,person,F Gregory,L
115157,person,Raleigh,L
123349,person,Zeeb,R
139753,person,John Pit,L
139764,person,Helma Lee,L
131595,person,Thomas Blount,L
131601,person,Clement Writer,L
139801,person,George Bridges,L
123418,person,Mary Magdalen,R
131610,person,Prideaux,L
123422,person,Nehustan,R
131616,person,Thron●,U
123429,person,Patriarch,L
123437,person,Boethius,H
131631,person,Swearer,L
123449,person,Thomas Lye,L
123450,person,Lord John,L
131646,person,Edward Hide,L
139840,person,William Winstanley,L
115270,person,St Jago,R
123465,person,Bell,L
139852,person,Baron Of Hindon,L
115290,person,Gilley,L
115297,person,King Henry,L
123495,person,Parry,L
115311,person,Charles I,L
123510,person,Walter St John Baronet,L
123512,person,Aristophanes,H
107129,person,Naboth,R
123518,person,Thomas White,L
107153,person,Fabius,H
115362,person,Francis Smith,L
131776,person,George Newton,L
123585,person,Alcides,F
139978,person,Ald William Wale Col,L
131790,person,Zoylusses,U
123600,person,Baucis,F
115433,person,Queen Mary,L
123639,person,Bythinia,R
107255,person,Jansenius,L
140032,person,King Charles Ii,L
123659,person,William Lord Petre,L
140058,person,Reder,L
115495,person,Albinus,H
107308,person,Georgio Monck,L
131886,person,Garnet,L
123715,person,Madeleine●…,L
140122,person,Gilbert Grey,L
115554,person,Ulyssis,F
123756,person,Alcoran,R
107377,person,Earl Of Cork,L
107391,person,Josiah Hunter,L
140168,person,Gilbert Molysone,L
131978,person,Parrey,L
131986,person,Arthur Lord Capell Baron Of Hadham,L
123807,person,Solon,H
107425,person,Sara,R
107431,person,Henrico Henly De Coleway,L
115631,person,Marganore,L
140210,person,Isaiah,R
132026,person,Tanaquilla,H
123838,person,Cow,U
132044,person,Miltiades,H
107477,person,Earl Of Ormond,L
132056,person,Leweston,L
123868,person,Heraclitus,H
140261,person,James Stephens,L
123888,person,Walter Norbane,L
140273,person,Aumarle,L
107509,person,Ignatius Cyprian,R
140279,person,Sciregemott,L
132098,person,Baptist,L
123909,person,Equilibrium,U
107532,person,Salmunna,R
140321,person,Berks,L
123960,person,William Creed,L
140359,person,J.M.D Mae,L
123995,person,Father Of God,R
107633,person,Thomas Arnold,L
107636,person,Tour,L
115829,person,Thersites,F
132214,person,Bishop Wickhams Famous,L
140410,person,Lord Maior,L
107657,person,Noah,R
132236,person,St Augustine,H
